default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72
0,-0.022,-0.255,-0.290,-1.351,-1.352,-1.353,-1.442,-1.443
0.100,0.015,0.014,-0.068,-0.132,-0.133,-0.134,-0.150,-0.151
0.200,0.019,0.015,-0.033,-0.034,-0.074,-0.075,-0.076,-0.077
0.300,0.043,0.042,0.041,0.040,0.039,0.032,0.027,0.026
0.400,0.103,0.102,0.092,0.067,0.061,0.049,0.035,0.034
0.500,0.132,0.103,0.093,0.068,0.062,0.061,0.045,0.044
0.600,0.193,0.104,0.094,0.069,0.066,0.065,0.056,0.055
0.700,0.220,0.182,0.138,0.070,0.067,0.066,0.057,0.056
0.800,0.340,0.340,0.313,0.199,0.198,0.197,0.196,0.195
0.900,0.348,0.343,0.314,0.224,0.223,0.222,0.221,0.220
1.000,0.349,0.348,0.347,0.346,0.345,0.344,0.343,0.325
1.100,3.200,3.200,3.200,3.200,3.200,3.200,3.200,3.200
